,Official Exchange Rate,Informal Exchange Rate,Inflation,Monetary Supply (M2),Interest Rate,IPMP,IPMP Agropecuario,IPMP Metales,IPMP Petróleo
2004-02,2.9319,2.94,0.1,56.2,2.2649999999999997,167.8,167.4,164.9,165.0
2004-03,2.8976,2.92,0.6,59.5,2.4,183.7,184.7,169.9,180.5
2004-04,2.8359,2.84,0.9,62.75,2.1,184.5,187.0,166.9,177.7
2004-05,2.9197,2.93,0.7,62.3,2.42,181.9,180.8,153.2,201.0
2004-06,2.9603,2.97,0.6,56.75,2.44,172.3,170.2,153.7,188.2
2004-07,2.9552,2.96,0.5,49.8,2.52,170.3,164.1,159.7,204.6
2004-08,3.0136,3.02,0.3,39.6,2.86,151.0,135.6,163.3,230.0
2004-09,2.996,3.01,0.6,31.6,2.98,143.7,126.9,165.0,231.2
2004-10,2.9692,2.98,0.4,30.5,2.935,136.1,114.3,168.6,265.9
2004-11,2.9546,2.96,0.0,27.85,3.0149999999999997,133.0,113.9,172.1,230.2
2004-12,2.9709,2.97,0.8,26.0,2.8899999999999997,132.3,115.0,173.3,211.6
2005-01,2.946,2.96,1.5,27.5,2.78,134.7,115.1,174.7,236.0
2005-02,2.9153,2.92,0.9,24.35,2.7,136.3,115.9,178.0,244.0
2005-03,2.9266,2.93,1.5,23.1,2.8,148.9,125.7,185.6,284.1
2005-04,2.9004,2.91,0.5,22.3,3.15,148.7,126.4,182.3,277.6
2005-05,2.8909,2.9,0.6,21.6,3.62,148.2,128.5,173.8,259.8
2005-06,2.8836,2.89,0.9,23.9,3.65,157.2,136.0,172.6,290.8
2005-07,2.8696,2.87,1.0,24.9,4.09,157.7,135.0,173.0,307.9
2005-08,2.888,2.88,0.4,26.2,3.975,151.5,124.0,180.4,342.7
2005-09,2.9117,2.91,1.2,25.4,4.07,144.5,116.8,178.9,335.7
2005-10,2.966,2.97,0.8,26.3,4.154999999999999,142.9,116.7,180.1,313.4
2005-11,2.9672,2.9850000000000003,1.2,28.6,4.53,142.2,116.8,184.0,296.3
2005-12,3.0145,3.03,1.1,27.9,4.72,147.7,121.7,192.5,302.6
2006-01,3.046,3.075,1.3,25.2,5.355,151.4,122.2,199.1,338.9
2006-02,3.0689,3.08,0.4,26.3,5.615,150.0,121.2,207.7,320.6
2006-03,3.0763,3.09,1.2,24.4,5.48,150.9,120.6,215.2,332.7
2006-04,3.0663,3.09,1.0,22.9,6.295,157.3,121.3,249.6,375.2
2006-05,3.0535,3.07,0.5,23.3,6.36,163.8,124.6,293.3,375.2
2006-06,3.0813,3.1,0.5,22.8,6.42,161.0,124.0,271.5,367.9
2006-07,3.082,3.105,0.6,22.6,6.79,164.0,124.7,280.2,394.5
2006-08,3.079,3.1,0.6,22.0,6.68,159.6,120.3,278.4,393.6
2006-09,3.1001,3.12,0.9,22.6,6.72,159.2,123.7,276.5,335.9
2006-10,3.0985,3.12,0.9,22.3,6.91,164.1,131.0,275.5,312.4
2006-11,3.0757,3.1,0.7,20.7,6.74,172.6,141.4,269.6,311.5
2006-12,3.0603,3.08,1.0,21.0,7.24,171.4,138.9,262.2,333.0
2007-01,3.085,3.11,1.1,21.4,7.52,168.9,142.1,242.4,290.8
2007-02,3.1026,3.12,0.3,20.7,6.9350000000000005,176.7,148.8,247.5,309.6
2007-03,3.101,3.12,0.8,22.3,7.32,182.7,152.2,260.9,331.9
2007-04,3.0891,3.12,0.7,24.7,7.195,185.0,149.6,288.2,361.1
2007-05,3.08,3.12,0.4,26.0,7.18,191.2,156.3,289.7,360.7
2007-06,3.0793,3.1,0.4,26.65,7.19,202.8,168.5,281.9,380.6
2007-07,3.1116,3.135,0.5,28.3,7.32,205.8,168.8,291.8,413.2
2007-08,3.1524,3.205,0.6,28.3,8.125,206.4,172.2,281.8,378.8
2007-09,3.1475,3.2,0.8,28.3,9.485,222.2,186.6,291.0,411.0
2007-10,3.1604,3.2,0.7,28.6,9.77,228.0,190.2,302.5,443.3
2007-11,3.1359,3.16,0.9,28.8,9.81,245.3,207.7,289.9,495.7
2007-12,3.1397,3.16,0.9,28.4,10.41,258.9,222.7,285.7,488.4
2008-01,3.1444,3.18,0.9,29.0,8.895,278.1,241.0,300.6,491.5
2008-02,3.1583,3.18,0.5,28.2,8.18,294.1,254.2,327.5,504.6
2008-03,3.1558,3.18,1.1,27.7,8.14,289.9,246.5,348.2,550.9
2008-04,3.1665,3.2,0.8,26.25,8.26,286.7,241.7,352.1,589.4
