Período;"IPMP
(dic-01=100)";"IPMP
Agropecuario
(dic-01=100)";"IPMP
Metales
(dic-01=100)";"IPMP
Petróleo
(dic-01=100)"
ene-97;154.6;146.9;134.4;126.2
feb-97;150.8;148.0;133.5;112.0
mar-97;153.3;155.5;136.8;103.3
abr-97;149.9;156.0;135.1;93.9
may-97;149.3;150.6;136.4;102.9
jun-97;138.0;139.0;133.8;94.3
jul-97;134.0;130.9;134.6;98.9
ago-97;139.2;137.3;138.9;100.6
sep-97;139.6;138.8;134.0;99.2
oct-97;144.0;141.7;131.3;106.7
nov-97;145.6;146.1;128.5;102.1
dic-97;137.5;140.3;122.9;91.4
ene-98;128.6;133.3;119.8;81.1
feb-98;124.6;130.4;120.0;75.6
mar-98;118.7;124.7;118.7;70.3
abr-98;114.5;117.7;118.7;72.0
may-98;115.2;116.4;114.8;77.3
jun-98;107.9;112.2;112.7;64.8
jul-98;106.1;109.8;111.1;64.6
ago-98;99.9;101.4;109.7;63.9
sep-98;102.2;101.5;110.2;71.8
oct-98;105.6;108.1;107.4;67.5
nov-98;105.6;112.0;106.3;58.7
dic-98;102.2;110.7;100.5;52.7
ene-99;100.7;105.9;98.0;59.4
feb-99;94.7;99.5;95.9;54.8
mar-99;96.1;97.6;95.0;67.0
abr-99;98.4;96.4;99.5;82.2
may-99;97.3;94.8;101.9;81.4
jun-99;96.5;93.5;99.0;84.8
jul-99;96.6;89.4;106.8;102.2
ago-99;103.2;96.4;108.6;108.7
sep-99;107.6;99.2;113.2;120.4
oct-99;106.7;98.3;114.4;118.0
nov-99;107.3;96.7;113.8;132.2
dic-99;107.3;95.5;114.9;137.5
ene-00;110.1;99.1;116.6;136.4
feb-00;113.2;100.4;118.3;148.9
mar-00;112.1;99.5;116.0;147.7
abr-00;107.4;100.1;113.4;121.2
may-00;113.8;101.9;116.2;147.0
jun-00;113.1;98.1;116.6;159.5
jul-00;108.9;93.5;119.1;153.3
ago-00;109.5;93.2;119.2;158.2
sep-00;116.1;97.7;122.6;175.3
oct-00;115.8;100.0;119.3;166.3
nov-00;119.0;102.9;115.9;174.8
dic-00;115.0;108.6;116.7;135.0
ene-01;114.0;106.5;114.9;137.8
feb-01;110.8;99.1;114.2;147.3
mar-01;106.2;97.7;111.7;131.1
abr-01;105.3;94.7;109.3;137.8
may-01;109.0;95.8;109.1;152.9
jun-01;109.2;97.6;106.2;149.0
jul-01;110.1;104.4;103.3;131.9
ago-01;111.3;104.7;101.1;138.1
sep-01;109.4;102.3;99.7;137.3
oct-01;101.9;99.9;97.0;110.1
nov-01;101.2;101.3;98.7;101.8
dic-01;100.0;100.0;100.0;100.0
ene-02;100.4;99.0;101.0;104.4
feb-02;100.7;97.8;103.3;108.4
mar-02;106.4;100.5;106.2;127.0
abr-02;108.3;100.8;106.1;136.4
may-02;110.7;103.8;107.7;136.3
jun-02;114.4;110.5;110.0;129.1
jul-02;121.9;119.3;107.3;138.0
ago-02;127.1;126.2;103.9;142.4
sep-02;129.2;126.7;104.7;151.6
oct-02;125.4;122.2;105.4;147.2
nov-02;122.4;121.7;110.0;129.5
dic-02;125.3;119.5;112.4;152.7
ene-03;128.4;119.7;116.3;167.2
feb-03;129.7;119.5;119.6;174.3
mar-03;128.3;120.6;118.5;162.6
abr-03;125.6;124.3;114.2;134.1
may-03;129.8;129.1;116.6;137.4
jun-03;131.3;128.5;118.6;147.0
jul-03;130.6;125.5;123.5;152.1
ago-03;129.4;122.2;124.7;159.5
sep-03;135.8;134.1;124.8;144.2
oct-03;146.4;144.5;129.7;158.9
nov-03;152.2;152.8;136.8;153.9
dic-03;153.6;152.1;145.2;159.5
ene-04;161.4;160.0;153.9;166.1
feb-04;167.8;167.4;164.9;165.0
mar-04;183.7;184.7;169.9;180.5
abr-04;184.5;187.0;166.9;177.7
may-04;181.9;180.8;153.2;201.0
jun-04;172.3;170.2;153.7;188.2
jul-04;170.3;164.1;159.7;204.6
ago-04;151.0;135.6;163.3;230.0
sep-04;143.7;126.9;165.0;231.2
oct-04;136.1;114.3;168.6;265.9
nov-04;133.0;113.9;172.1;230.2
