Fecha;Valor
28/2/1943;-0,6
31/3/1943;1,6
30/4/1943;0,7
31/5/1943;-0,9
30/6/1943;0,1
31/7/1943;-5,6
31/8/1943;1,0
30/9/1943;-0,9
31/10/1943;1,0
30/11/1943;0,0
31/12/1943;-0,3
31/1/1944;0,7
29/2/1944;0,2
31/3/1944;0,6
30/4/1944;-1,1
31/5/1944;-0,4
30/6/1944;1,8
31/7/1944;-0,1
31/8/1944;1,4
30/9/1944;-0,2
31/10/1944;0,7
30/11/1944;0,0
31/12/1944;0,2
31/1/1945;7,8
28/2/1945;1,9
31/3/1945;7,5
30/4/1945;0,1
31/5/1945;0,3
30/6/1945;0,1
31/7/1945;1,2
31/8/1945;-0,9
30/9/1945;0,6
31/10/1945;0,1
30/11/1945;0,2
31/12/1945;2,2
31/1/1946;7,0
28/2/1946;0,2
31/3/1946;2,9
30/4/1946;1,7
31/5/1946;-0,3
30/6/1946;1,7
31/7/1946;0,2
31/8/1946;-0,7
30/9/1946;0,1
31/10/1946;2,5
30/11/1946;0,4
31/12/1946;1,7
31/1/1947;-0,9
28/2/1947;0,7
31/3/1947;6,1
30/4/1947;0,1
31/5/1947;0,1
30/6/1947;4,7
31/7/1947;-1,1
31/8/1947;0,9
30/9/1947;0,1
31/10/1947;-0,5
30/11/1947;0,9
31/12/1947;3,2
31/1/1948;-1,6
29/2/1948;-0,3
31/3/1948;1,8
30/4/1948;0,6
31/5/1948;2,5
30/6/1948;2,9
31/7/1948;-0,2
31/8/1948;2,1
30/9/1948;4,1
31/10/1948;0,3
30/11/1948;0,2
31/12/1948;5,3
31/1/1949;0,5
28/2/1949;-0,3
31/3/1949;6,8
30/4/1949;4,9
31/5/1949;2,9
30/6/1949;1,2
31/7/1949;1,9
31/8/1949;1,7
30/9/1949;1,6
31/10/1949;2,7
30/11/1949;3,2
31/12/1949;2,4
31/1/1950;-1,8
28/2/1950;2,6
31/3/1950;0,0
30/4/1950;2,2
31/5/1950;4,8
30/6/1950;2,9
31/7/1950;0,0
31/8/1950;0,2
30/9/1950;4,0
31/10/1950;3,8
30/11/1950;-0,2
31/12/1950;2,0
31/1/1951;-1,0
28/2/1951;2,9
31/3/1951;0,3
30/4/1951;9,0
31/5/1951;7,5
30/6/1951;3,3
31/7/1951;0,8
31/8/1951;9,3
30/9/1951;-1,9
31/10/1951;3,0
30/11/1951;0,3
31/12/1951;8,7
31/1/1952;3,9
29/2/1952;0,7
31/3/1952;2,9
30/4/1952;6,2
31/5/1952;1,6
30/6/1952;2,1
31/7/1952;-4,1
31/8/1952;-0,4
30/9/1952;3,4
31/10/1952;1,0
30/11/1952;0,3
31/12/1952;0,4
31/1/1953;-1,3
28/2/1953;5,8
31/3/1953;-0,5
30/4/1953;-4,2
31/5/1953;-1,6
30/6/1953;-0,2
31/7/1953;0,8
31/8/1953;0,1
30/9/1953;-0,7
31/10/1953;-0,4
30/11/1953;0,7
31/12/1953;1,1
31/1/1954;-2,0
28/2/1954;-0,2
31/3/1954;0,2
30/4/1954;2,1
31/5/1954;-0,2
30/6/1954;1,6
31/7/1954;2,2
31/8/1954;0,7
30/9/1954;2,4
31/10/1954;2,9
30/11/1954;1,0
31/12/1954;4,4
31/1/1955;-2,2
28/2/1955;0,1
31/3/1955;0,1
30/4/1955;1,4
31/5/1955;0,1
30/6/1955;0,6
31/7/1955;0,4
31/8/1955;0,3
30/9/1955;0,7
31/10/1955;-0,1
30/11/1955;0,0
31/12/1955;5,7
31/1/1956;-1,3
29/2/1956;-0,8
31/3/1956;-0,2
30/4/1956;3,5
31/5/1956;3,8
30/6/1956;3,9
31/7/1956;-0,5
31/8/1956;-0,5
30/9/1956;0,6
31/10/1956;1,3
30/11/1956;1,5
31/12/1956;4,4
31/1/1957;-1,1
28/2/1957;0,8
31/3/1957;3,6
30/4/1957;2,7
31/5/1957;2,8
30/6/1957;3,8
31/7/1957;1,8
31/8/1957;5,4
30/9/1957;-0,2
