Fecha;Compra;Venta
15/11/2024;1110,00;1140,00
14/11/2024;1110,00;1140,00
13/11/2024;1105,00;1135,00
12/11/2024;1105,00;1135,00
11/11/2024;1105,00;1135,00
8/11/2024;1085,00;1115,00
7/11/2024;1105,00;1135,00
6/11/2024;1105,00;1135,00
5/11/2024;1140,00;1170,00
4/11/2024;1160,00;1190,00
1/11/2024;1160,00;1190,00
31/10/2024;1150,00;1180,00
30/10/2024;1165,00;1195,00
29/10/2024;1190,00;1220,00
28/10/2024;1195,00;1225,00
25/10/2024;1185,00;1215,00
24/10/2024;1285,00;1215,00
24/10/2024;1285,00;1215,00
24/10/2024;1200,00;1230,00
23/10/2024;1210,00;1240,00
23/10/2024;1210,00;1240,00
22/10/2024;1215,00;1245,00
21/10/2024;1210,00;1240,00
18/10/2024;1195,00;1225,00
17/10/2024;1190,00;1220,00
16/10/2024;1190,00;1220,00
15/10/2024;1205,00;1235,00
14/10/2024;1160,00;1190,00
10/10/2024;1150,00;1180,00
9/10/2024;1145,00;1175,00
8/10/2024;1145,00;1175,00
7/10/2024;1155,00;1185,00
4/10/2024;1165,00;1195,00
3/10/2024;1175,00;1205,00
2/10/2024;1185,00;1215,00
1/10/2024;1190,00;1220,00
30/9/2024;1205,00;1235,00
27/9/2024;1215,00;1245,00
26/9/2024;1200,00;1230,00
26/9/2024;1190,00;1220,00
26/9/2024;1200,00;1230,00
26/9/2024;1205,00;1235,00
26/9/2024;1205,00;1235,00
26/9/2024;1215,00;1235,00
25/9/2024;1210,00;1240,00
24/9/2024;1215,00;1245,00
23/9/2024;1215,00;1245,00
20/9/2024;1215,00;1245,00
19/9/2024;1210,00;1240,00
18/9/2024;1230,00;1260,00
17/9/2024;1240,00;1270,00
16/9/2024;1245,00;1275,00
13/9/2024;1235,00;1265,00
12/9/2024;1250,00;1280,00
11/9/2024;1255,00;1285,00
10/9/2024;1250,00;1280,00
9/9/2024;1240,00;1270,00
6/9/2024;1230,00;1260,00
5/9/2024;1235,00;1265,00
4/9/2024;1275,00;1305,00
3/9/2024;1280,00;1310,00
2/9/2024;1275,00;1305,00
30/8/2024;1275,00;1305,00
29/8/2024;1285,00;1315,00
28/8/2024;1305,00;1335,00
27/8/2024;1310,00;1340,00
26/8/2024;1320,00;1350,00
23/8/2024;1320,00;1350,00
22/8/2024;1320,00;1350,00
21/8/2024;1325,00;1355,00
20/8/2024;1325,00;1355,00
19/8/2024;1320,00;1350,00
16/8/2024;1315,00;1345,00
15/8/2024;1320,00;1350,00
14/8/2024;1325,00;1355,00
13/8/2024;1330,00;1360,00
12/8/2024;1325,00;1355,00
9/8/2024;1325,00;1355,00
8/8/2024;1345,00;1375,00
7/8/2024;1355,00;1385,00
6/8/2024;1345,00;1375,00
5/8/2024;1360,00;1390,00
2/8/2024;1365,00;1395,00
1/8/2024;1350,00;1380,00
31/7/2024;1340,00;1370,00
30/7/2024;1355,00;1385,00
29/7/2024;1390,00;1415,00
26/7/2024;1405,00;1435,00
25/7/2024;1415,00;1445,00
24/7/2024;1420,00;1450,00
23/7/2024;1415,00;1445,00
22/7/2024;1410,00;1440,00
19/7/2024;1415,00;1445,00
18/7/2024;1425,00;1455,00
17/7/2024;1425,00;1455,00
16/7/2024;1375,00;1405,00
15/7/2024;1385,00;1415,00
12/7/2024;1470,00;1500,00
11/7/2024;1435,00;1465,00
10/7/2024;1420,00;1450,00
8/7/2024;1410,00;1440,00
5/7/2024;1390,00;1420,00
4/7/2024;1375,00;1405,00
3/7/2024;1375,00;1405,00
2/7/2024;1400,00;1430,00
1/7/2024;1375,00;1405,00
28/6/2024;1335,00;1365,00
27/6/2024;1325,00;1355,00
26/6/2024;1345,00;1365,00
25/6/2024;1335,00;1365,00
24/6/2024;1300,00;1330,00
19/6/2024;1270,00;1300,00
18/6/2024;1275,00;1305,00
14/6/2024;1250,00;1280,00
14/6/2024;1215,00;1245,00
13/6/2024;1215,00;1245,00
12/6/2024;1255,00;1285,00
11/6/2024;1265,00;1295,00
10/6/2024;1250,00;1280,00
7/6/2024;1235,00;1265,00
6/6/2024;1220,00;1250,00
5/6/2024;1220,00;1250,00
4/6/2024;1235,00;1265,00
3/6/2024;1205,00;1235,00
31/5/2024;1195,00;1225,00
30/5/2024;1200,00;1230,00
29/5/2024;1200,00;1230,00
28/5/2024;1180,00;1210,00
27/5/2024;1175,00;1205,00
24/5/2024;1190,00;1220,00
23/5/2024;1250,00;1280,00
22/5/2024;1245,00;1275,00
21/5/2024;1200,00;1230,00
20/5/2024;1150,00;1180,00
17/5/2024;1090,00;1120,00
17/5/2024;1070,00;1100,00
17/5/2024;1075,00;1105,00
16/5/2024;1070,00;1100,00
15/5/2024;1070,00;1100,00
14/5/2024;1070,00;1070,00
13/5/2024;1015,00;1045,00
10/5/2024;1010,00;1040,00
9/5/2024;1015,00;1045,00
8/5/2024;1010,00;1040,00
7/5/2024;1010,00;1040,00
6/5/2024;1015,00;1045,00
3/5/2024;1010,00;1040,00
2/5/2024;1010,00;1040,00
30/4/2024;1010,00;1040,00
29/4/2024;1015,00;1045,00
26/4/2024;1025,00;1055,00
25/4/2024;1025,00;1055,00
24/4/2024;1005,00;1035,00
23/4/2024;1000,00;1030,00
22/4/2024;1005,00;1035,00
19/4/2024;985,00;1015,00
18/4/2024;995,00;1025,00
17/4/2024;1000,00;1030,00
16/4/2024;1005,00;1035,00
15/4/2024;985,00;1015,00
12/4/2024;975,00;1005,00
11/4/2024;970,00;1000,00
10/4/2024;970,00;1000,00
9/4/2024;970,00;1000,00
8/4/2024;955,00;985,00
5/4/2024;955,00;985,00
4/4/2024;970,00;1000,00
3/4/2024;975,00;1005,00
27/3/2024;980,00;1010,00
26/3/2024;985,00;1015,00
26/3/2024;985,00;1015,00
26/3/2024;990,00;1020,00
25/3/2024;990,00;1020,00
25/3/2024;990,00;1020,00
25/3/2024;990,00;1020,00
25/3/2024;990,00;1020,00
22/3/2024;990,00;1020,00
22/3/2024;990,00;1020,00
22/3/2024;1000,00;1020,00
21/3/2024;1000,00;1030,00
21/3/2024;1000,00;1030,00
21/3/2024;1000,00;1030,00
21/3/2024;995,00;1025,00
21/3/2024;1000,00;1030,00
21/3/2024;1000,00;1030,00
20/3/2024;1000,00;1030,00
20/3/2024;1005,00;1035,00
20/3/2024;1005,00;1035,00
20/3/2024;1000,00;1030,00
20/3/2024;1005,00;1035,00
19/3/2024;1005,00;1035,00
19/3/2024;1005,00;1035,00
19/3/2024;1000,00;1030,00
19/3/2024;1000,00;1030,00
19/3/2024;995,00;1025,00
19/3/2024;995,00;1025,00
18/3/2024;995,00;1025,00
18/3/2024;995,00;1025,00
18/3/2024;985,00;1015,00
18/3/2024;995,00;1025,00
15/3/2024;995,00;1025,00
15/3/2024;995,00;1025,00
15/3/2024;990,00;1020,00
15/3/2024;1000,00;1025,00
15/3/2024;1000,00;1025,00
15/3/2024;1000,00;1030,00
15/3/2024;995,00;1025,00
14/3/2024;995,00;1025,00
14/3/2024;1005,00;1035,00
14/3/2024;1000,00;1030,00
14/3/2024;1000,00;1030,00
14/3/2024;1005,00;1035,00
13/3/2024;1005,00;1035,00
13/3/2024;1005,00;1035,00
13/3/2024;1000,00;1030,00
13/3/2024;1010,00;1030,00
13/3/2024;1005,00;1030,00
13/3/2024;1005,00;1035,00
13/3/2024;1015,00;1035,00
13/3/2024;990,00;1020,00
12/3/2024;990,00;1020,00
12/3/2024;990,00;1020,00
12/3/2024;990,00;1020,00
12/3/2024;990,00;1020,00
12/3/2024;975,00;1005,00
12/3/2024;975,00;1005,00
11/3/2024;975,00;1005,00
11/3/2024;960,00;990,00
11/3/2024;960,00;990,00
11/3/2024;960,00;990,00
11/3/2024;965,00;995,00
11/3/2024;965,00;995,00
8/3/2024;965,00;995,00
8/3/2024;965,00;995,00
8/3/2024;955,00;985,00
8/3/2024;955,00;985,00
8/3/2024;960,00;990,00
8/3/2024;955,00;985,00
8/3/2024;955,00;985,00
7/3/2024;955,00;985,00
7/3/2024;955,00;985,00
7/3/2024;955,00;985,00
7/3/2024;950,00;980,00
